
Class,Year,Month,Grade,Points Earned,Possible Points
Spanish,2023,  August/September,86.23,119,138
Spanish,2023,October,91.17,62,68
Spanish,2023,November,84.25,45.5,54
Spanish,2023,December,89.56,103,115
Spanish,2024,January ,100,24,24
Spanish,2024,Febuary ,100,110,110
Spanish,2024,March ,93.68,89,95
Spanish,2024,April,96.25,77,80
Spanish,2024,May,96.66,87,90
