
Class,Year,Month,Grade,Points Earned,Possible Points
US History,August/September,82.91,228,275
US History,October,86.34,196,227
US History,2023,November,88.29,181,205
US History,December,77.31,225,291
US History,January ,74.61,48.5,65
US History,Febuary ,91.16,114.5,125
US History,March ,73.02,157,215
US History,April,100,60,60
US History,May,92.32,457,495
